tag	version	custom	abstract	datatype	iord	tlabel	doc
AnnualReturn2015	rr/2018	0	0	pure	D	Annual Return 2015	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart. When a Multiple Class Fund offers more than one Class in the prospectus, provide annual total returns in the bar chart for only one of those Classes. The Fund can select which Class to include (e.g., the oldest Class, the Class with the greatest net assets).
AnnualReturn2016	rr/2012	0	0	pure	D	Annual Return 2016	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart. When a Multiple Class Fund offers more than one Class in the prospectus, provide annual total returns in the bar chart for only one of those Classes. The Fund can select which Class to include (e.g., the oldest Class, the Class with the greatest net assets).
AnnualReturn2016	rr/2018	0	0	pure	D	Annual Return 2016	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart. When a Multiple Class Fund offers more than one Class in the prospectus, provide annual total returns in the bar chart for only one of those Classes. The Fund can select which Class to include (e.g., the oldest Class, the Class with the greatest net assets).
AnnualReturn2017	rr/2012	0	0	pure	D	Annual Return 2017	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart. When a Multiple Class Fund offers more than one Class in the prospectus, provide annual total returns in the bar chart for only one of those Classes. The Fund can select which Class to include (e.g., the oldest Class, the Class with the greatest net assets).
AnnualReturn2017	rr/2018	0	0	pure	D	Annual Return 2017	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart. When a Multiple Class Fund offers more than one Class in the prospectus, provide annual total returns in the bar chart for only one of those Classes. The Fund can select which Class to include (e.g., the oldest Class, the Class with the greatest net assets).
AnnualReturnCaption	rr/2012	0	0	string	D	Annual Return Caption [Text]	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart. Provide annual total returns beginning with the earliest calendar year. Calculate annual returns using the Instructions to Item 8(a), except that the calculations should be based on calendar years. If a Fund's shares are sold subject to a sales load or account fees, state that sales loads or account fees are not reflected in the bar chart and that, if these amounts were reflected, returns would be less than those shown. When a Multiple Class Fund offers more than one Class in the prospectus, provide annual total returns in the bar chart for only one of those Classes. The Fund can select which Class to include (e.g., the oldest Class, the Class with the greatest net assets). When a Multiple Class Fund offering one or more Classes offers a new Class in a prospectus that does not offer the shares of any other Class, include the bar chart with annual total returns for any other existing Class for the first year that the Class is offered. Explain in a footnote that the returns are for a Class that is not offered in the prospectus that would have substantially similar annual returns because the shares are invested in the same portfolio of securities and the annual returns would differ only to the extent that the Classes do not have the same expenses. Include return information for the other Class reflected in the bar chart in the performance table
AverageAnnualReturnCaption	rr/2012	0	0	string	D	Caption	This item represents Average Anuual Total Returns. If a Multiple Class Fund offers a Class in the prospectus that converts into another Class after a stated period, compute average annual total returns in the table by using the returns of the other Class for the period after conversion.
AverageAnnualReturnCaption	rr/2018	0	0	string	D	Average Annual Return, Caption	This item represents Average Annual Total Returns. If a Multiple Class Fund offers a Class in the prospectus that converts into another Class after a stated period, compute average annual total returns in the table by using the returns of the other Class for the period after conversion.
AverageAnnualReturnColumnName	rr/2012	0	0	textBlock	D	Column	This item represents Average Anuual Total Returns. If a Multiple Class Fund offers a Class in the prospectus that converts into another Class after a stated period, compute average annual total returns in the table by using the returns of the other Class for the period after conversion.
AverageAnnualReturnColumnName	rr/2018	0	0	textBlock	D	Average Annual Return, Column Name	This item represents Average Annual Total Returns. If a Multiple Class Fund offers a Class in the prospectus that converts into another Class after a stated period, compute average annual total returns in the table by using the returns of the other Class for the period after conversion.
AverageAnnualReturnInceptionDate	rr/2012	0	0	date	D	Inception Date	Return Before Taxes.
AverageAnnualReturnInceptionDate	rr/2018	0	0	date	D	Inception Date	Return Before Taxes.
AverageAnnualReturnLabel	rr/2012	0	0	string	D	Label	This item represents Average Anuual Total Returns. If a Multiple Class Fund offers a Class in the prospectus that converts into another Class after a stated period, compute average annual total returns in the table by using the returns of the other Class for the period after conversion.
AverageAnnualReturnLabel	rr/2018	0	0	string	D	Label	This item represents Average Annual Total Returns. If a Multiple Class Fund offers a Class in the prospectus that converts into another Class after a stated period, compute average annual total returns in the table by using the returns of the other Class for the period after conversion.
AverageAnnualReturnSinceInception	rr/2012	0	0	pure	D	Since Inception	Return Before Taxes.
AverageAnnualReturnSinceInception	rr/2018	0	0	pure	D	Since Inception	Return Before Taxes.
AverageAnnualReturnYear01	rr/2012	0	0	pure	D	1 Year	Return Before Taxes.
AverageAnnualReturnYear01	rr/2018	0	0	pure	D	1 Year	Return Before Taxes.
AverageAnnualReturnYear05	rr/2012	0	0	pure	D	5 Years	Return Before Taxes.
AverageAnnualReturnYear05	rr/2018	0	0	pure	D	5 Years	Return Before Taxes.
AverageAnnualReturnYear10	rr/2012	0	0	pure	D	10 Years	Return Before Taxes.
AverageAnnualReturnYear10	rr/2018	0	0	pure	D	10 Years	Return Before Taxes.
BarChartAndPerformanceTableHeading	rr/2012	0	0	string	D	Bar Chart and Performance Table [Heading]	Risk/Return Bar Chart and Table.
BarChartAndPerformanceTableHeading	rr/2018	0	0	string	D	Bar Chart and Performance Table [Heading]	Risk/Return Bar Chart and Table.
BarChartClosingTextBlock	rr/2012	0	0	textBlock	D	Bar Chart Closing [Text Block]	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart.
BarChartClosingTextBlock	rr/2018	0	0	textBlock	D	Bar Chart Closing [Text Block]	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart.
BarChartDoesNotReflectSalesLoads	rr/2012	0	0	string	D	Bar Chart Does Not Reflect Sales Loads [Text]	Include the bar chart and table required by Item 4 (b)(2)(ii) and (iii) of this section. Provide a brief explanation of how the information illustrates the variability of the Fund's returns (e.g., by stating that the information provides some indication of the risks of investing in the Fund by showing changes in the Fund's performance from year to year and by showing how the Fund's average annual returns for 1, 5, and 10 years compare with those of a broad measure of market performance). Provide a statement to the effect that the Fund's past performance (before and after taxes) is not necessarily an indication of how the Fund will perform in the future. Provide annual total returns beginning with the earliest calendar year. Calculate annual returns using the Instructions to Item 8(a), except that the calculations should be based on calendar years. If a Fund's shares are sold subject to a sales load or account fees, state that sales loads or account fees are not reflected in the bar chart and that, if these amounts were reflected, returns would be less than those shown.
BarChartDoesNotReflectSalesLoads	rr/2018	0	0	string	D	Bar Chart Does Not Reflect Sales Loads [Text]	Include the bar chart and table required by Item 4 (b)(2)(ii) and (iii) of this section. Provide a brief explanation of how the information illustrates the variability of the Fund's returns (e.g., by stating that the information provides some indication of the risks of investing in the Fund by showing changes in the Fund's performance from year to year and by showing how the Fund's average annual returns for 1, 5, and 10 years compare with those of a broad measure of market performance). Provide a statement to the effect that the Fund's past performance (before and after taxes) is not necessarily an indication of how the Fund will perform in the future. Provide annual total returns beginning with the earliest calendar year. Calculate annual returns using the Instructions to Item 8(a), except that the calculations should be based on calendar years. If a Fund's shares are sold subject to a sales load or account fees, state that sales loads or account fees are not reflected in the bar chart and that, if these amounts were reflected, returns would be less than those shown.
BarChartFootnotesTextBlock	rr/2012	0	0	textBlock	D	Bar Chart Footnotes [Text Block]	Multiple Class Funds.
BarChartFootnotesTextBlock	rr/2018	0	0	textBlock	D	Bar Chart Footnotes [Text Block]	Multiple Class Funds.
BarChartHeading	rr/2012	0	0	string	D	Bar Chart [Heading]	Risk/Return Bar Chart and Table.
BarChartHeading	rr/2018	0	0	string	D	Bar Chart [Heading]	Risk/Return Bar Chart and Table.
BarChartHighestQuarterlyReturn	rr/2012	0	0	pure	D	Highest Quarterly Return	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart.
BarChartHighestQuarterlyReturn	rr/2018	0	0	pure	D	Highest Quarterly Return	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart.
BarChartHighestQuarterlyReturnDate	rr/2012	0	0	date	D	Highest Quarterly Return, Date	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart.
BarChartHighestQuarterlyReturnDate	rr/2018	0	0	date	D	Highest Quarterly Return, Date	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart.
BarChartLowestQuarterlyReturn	rr/2012	0	0	pure	D	Lowest Quarterly Return	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart.
BarChartLowestQuarterlyReturn	rr/2018	0	0	pure	D	Lowest Quarterly Return	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart.
BarChartLowestQuarterlyReturnDate	rr/2012	0	0	date	D	Lowest Quarterly Return, Date	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart.
BarChartLowestQuarterlyReturnDate	rr/2018	0	0	date	D	Lowest Quarterly Return, Date	If the Fund has annual returns for at least one calendar year, provide a bar chart showing the Fund's annual total returns for each of the last 10 calendar years (or for the life of the Fund if less than 10 years), but only for periods subsequent to the effective date of the Fund's registration statement. Present the corresponding numerical return adjacent to each bar. If the Fund's fiscal year is other than a calendar year, include the year-to-date return information as of the end of the most recent quarter in a footnote to the bar chart. Following the bar chart, disclose the Fund's highest and lowest return for a quarter during the 10 years or other period of the bar chart.
BarChartNarrativeTextBlock	rr/2012	0	0	textBlock	D	Bar Chart Narrative [Text Block]	Provide a brief explanation of how the information illustrates the variability of the Fund's returns (e.g., by stating that the information provides some indication of the risks of investing in the Fund by showing changes in the Fund's performance from year to year and by showing how the Fund's average annual returns for 1, 5, and 10 years compare with those of a broad measure of market performance). Provide a statement to the effect that the Fund's past performance (before and after taxes) is not necessarily an indication of how the Fund will perform in the future.
BarChartNarrativeTextBlock	rr/2018	0	0	textBlock	D	Bar Chart Narrative [Text Block]	Provide a brief explanation of how the information illustrates the variability of the Fund's returns (e.g., by stating that the information provides some indication of the risks of investing in the Fund by showing changes in the Fund's performance from year to year and by showing how the Fund's average annual returns for 1, 5, and 10 years compare with those of a broad measure of market performance). Provide a statement to the effect that the Fund's past performance (before and after taxes) is not necessarily an indication of how the Fund will perform in the future.
BarChartReasonSelectedClassDifferentFromImmediatelyPrecedingPeriod	rr/2012	0	0	string	D	Bar Chart, Reason Selected Class Different from Immediately Preceding Period [Text]	If the Fund provides annual total returns in the bar chart for a Class that is different from the Class selected for the most immediately preceding period, explain in a footnote to the bar chart the reasons for the selection of a different Class.
BarChartReasonSelectedClassDifferentFromImmediatelyPrecedingPeriod	rr/2018	0	0	string	D	Bar Chart, Reason Selected Class Different from Immediately Preceding Period [Text]	If the Fund provides annual total returns in the bar chart for a Class that is different from the Class selected for the most immediately preceding period, explain in a footnote to the bar chart the reasons for the selection of a different Class.
