adsh	cik	name	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	fye	pdate	effdate	form	filed	accepted	instance	nciks	aciks
0000051931-18-001197	1368040	SHORT-TERM BOND FUND OF AMERICA	US	CA	LOS ANGELES	90071	333 S HOPE ST - 55TH FL (MICG)		213-486-9200	US	CA	LOS ANGELES	90071	333 S HOPE ST - 55TH FL (MICG)		US	DE	000000000				20181101	20181101	485BPOS	20181121	2018-11-21 12:57:00.0	ck0001368040-20181031.xml	1	
0000051931-18-001199	44201	GROWTH FUND OF AMERICA	US	CA	IRVINE	92618	6455 IRVINE CENTER DRIVE		213-486-9501	US	CA	LOS ANGELES	90071	333 S HOPE ST - 55TH FLOOR (GYR)		US	DE	520792143	GROWTH FUND OF AMERICA INC	19920703	0831	20181101	20181101	485BPOS	20181121	2018-11-21 13:14:00.0	ck0000044201-20181031.xml	1	
0000051931-18-001261	858744	SMALLCAP WORLD FUND INC	US	CA	IRVINE	92618	6455 IRVINE CENTER DRIVE		213-486-9501	US	CA	LOS ANGELES	90071	333 S HOPE ST - 55TH FLOOR (GYR)				954253845	SMALLCAP FUND INC	19900205	0930	20181201	20181201	485BPOS	20181221	2018-12-21 11:07:00.0	ck0000858744-20181130.xml	1	
0000051931-18-001262	1454975	AMERICAN FUNDS U.S. GOVERNMENT MONEY MARKET FUND	US	CA	LOS ANGELES	90071	333 SOUTH HOPE STREET	55TH FLOOR	213-486-9200	US	CA	LOS ANGELES	90071	333 SOUTH HOPE STREET	55TH FLOOR			000000000	AMERICAN FUNDS MONEY MARKET FUND	20090129		20181201	20181201	485BPOS	20181221	2018-12-21 12:15:00.0	ck0001454975-20181130.xml	1	
0000051931-18-001263	823620	AMERICAN HIGH INCOME TRUST	US	CA	LOS ANGELES	90071	333 S HOPE ST - 55TH FL (MICG)		213-486-9200	US	CA	LOS ANGELES	90071	333 S HOPE ST - 55TH FL (MICG)		US	DE	956872063			0930	20181201	20181201	485BPOS	20181221	2018-12-21 12:25:00.0	ck0000823620-20181130.xml	1	
0000051931-18-001265	71516	NEW PERSPECTIVE FUND	US	CA	LOS ANGELES	90071	333 S HOPE ST - 55TH FL (MICG)		213-486-9200	US	CA	LOS ANGELES	90071	333 S HOPE ST - 55TH FL (MICG)		US	DE	952817150	NEW PERSPECTIVE FUND INC	19920703	0930	20181201	20181201	485BPOS	20181221	2018-12-21 13:56:00.0	ck0000071516-20181130.xml	1	
0000053808-18-000055	53808	DREYFUS LAUREL FUNDS TRUST	US	NY	NEW YORK	10166	THE DREYFUS CORPORATION	200 PARK AVENUE	2129226400	US	NY	NEW YORK	10166	DREYFUS CORPORATION	200 PARK AVENUE	US	MA	042694144	LAUREL FUNDS TRUST	19940202	1231	20180928	20180928	485BPOS	20181003	2018-10-03 15:25:00.0	ck0000053808-20180926.xml	1	
0000088053-18-001094	88048	DEUTSCHE DWS SECURITIES TRUST	US	NY	NEW YORK	10154-0004	345 PARK AVENUE		212-250-2500	US	NY	NEW YORK	10154-0004	345 PARK AVENUE				132661231	DEUTSCHE SECURITIES TRUST	20140811	0630	20181001	20181001	485BPOS	20181009	2018-10-09 11:39:00.0	ddst-20180927.xml	1	
0000088053-18-001098	88063	DEUTSCHE DWS PORTFOLIO TRUST	US	NY	NEW YORK	10154-0004	345 PARK AVENUE		212-250-2500	US	NY	NEW YORK	10154-0004	345 PARK AVENUE		US	MA	046013018	DEUTSCHE PORTFOLIO TRUST	20140811	1231	20181001	20181001	485BPOS	20181012	2018-10-12 11:11:00.0	ddpt-20180927.xml	1	
0000088053-18-001099	203142	DEUTSCHE DWS MUNICIPAL TRUST	US	NY	NEW YORK	10154-0004	345 PARK AVENUE		212-250-2500	US	NY	NEW YORK	10154-0004	345 PARK AVENUE		US	MA	046396607	DEUTSCHE MUNICIPAL TRUST	20140811	0531	20181001	20181001	485BPOS	20181015	2018-10-15 09:00:00.0	ddmt-20180927.xml	1	
0000088053-18-001100	711600	DEUTSCHE DWS TAX FREE TRUST	US	NY	NEW  YORK	10154-0004	345 PARK AVENUE		212-250-2500	US	NY	NEW  YORK	10154-0004	345 PARK AVENUE		US	MA	042782118	DEUTSCHE TAX FREE TRUST	20140811	0531	20181001	20181001	485BPOS	20181015	2018-10-15 09:03:00.0	ddtft-20180927.xml	1	
0000088053-18-001101	203142	DEUTSCHE DWS MUNICIPAL TRUST	US	NY	NEW YORK	10154-0004	345 PARK AVENUE		212-250-2500	US	NY	NEW YORK	10154-0004	345 PARK AVENUE		US	MA	046396607	DEUTSCHE MUNICIPAL TRUST	20140811	0531	20181001	20181003	497	20181015	2018-10-15 09:17:00.0	ddmt-20181003.xml	1	
0000088053-18-001102	203142	DEUTSCHE DWS MUNICIPAL TRUST	US	NY	NEW YORK	10154-0004	345 PARK AVENUE		212-250-2500	US	NY	NEW YORK	10154-0004	345 PARK AVENUE		US	MA	046396607	DEUTSCHE MUNICIPAL TRUST	20140811	0531	20181001	20181003	497	20181015	2018-10-15 09:20:00.0	ddmt-20181003.xml	1	
0000088053-18-001127	863209	INVESTORS CASH TRUST	US	NY	NEW  YORK	10154-0004	345 PARK AVENUE		212-250-2500	US	NY	NEW  YORK	10154-0004	345 PARK AVENUE		US	MA	363708479			0331	20181019	20181019	485BPOS	20181030	2018-10-30 11:22:00.0	ict-20181019.xml	1	
0000088053-18-001331	858372	CASH ACCOUNT TRUST	US	NY	NEW YORK	10154-0004	345 PARK AVENUE		212-250-2500	US	NY	NEW YORK	10154-0004	345 PARK AVENUE		US	MA	371259201	DEUTSCHE PORTFOLIO TRUST	20140811	0430	20180801	20181206	497	20181218	2018-12-18 08:17:00.0	cat-20181206.xml	15	862157 88064 863209 203142 714287 88048 793597 95603 88053 55189 747677 926425 711600 88063
0000088053-18-001332	203142	DEUTSCHE DWS MUNICIPAL TRUST	US	NY	NEW YORK	10154-0004	345 PARK AVENUE		212-250-2500	US	NY	NEW YORK	10154-0004	345 PARK AVENUE		US	MA	046396607	DEUTSCHE MUNICIPAL TRUST	20140811	0531	20180201	20181206	497	20181218	2018-12-18 08:20:00.0	ddmt-20181206.xml	1	
0000088053-18-001333	747677	DEUTSCHE DWS INCOME TRUST	US	NY	NEW YORK	10154-0004	345 PARK AVENUE		212-250-2500	US	NY	NEW YORK	10154-0004	345 PARK AVENUE				000000000	DEUTSCHE INCOME TRUST	20140811	0930	20180201	20181206	497	20181218	2018-12-18 08:21:00.0	ddit-20181206.xml	1	
0000088053-18-001334	714287	DEUTSCHE DWS STATE TAX-FREE INCOME SERIES	US	NY	NEW YORK	10154-0004	345 PARK AVENUE		212-250-2500	US	NY	NEW YORK	10154-0004	345 PARK AVENUE		US	MA	363221104	DEUTSCHE STATE TAX-FREE INCOME SERIES	20140811	0831	20181201	20181201	485BPOS	20181219	2018-12-19 09:21:00.0	ddstfis-20181130.xml	1	
0000088053-18-001336	88064	DEUTSCHE DWS INVESTMENT TRUST	US	NY	NEW YORK	10154-0004	345 PARK AVENUE		212-250-2500	US	NY	NEW YORK	10154-0004	345 PARK AVENUE		US	MA	042212654	DEUTSCHE INVESTMENT TRUST	20140811	1231	20181201	20181201	485BPOS	20181219	2018-12-19 13:39:00.0	ddit-20181128.xml	1	
0000088053-18-001338	793597	DEUTSCHE DWS GLOBAL/INTERNATIONAL FUND, INC.	US	NY	NEW YORK	10154-0004	345 PARK AVENUE		212-250-2500	US	NY	NEW YORK	10154-0004	345 PARK AVENUE				000000000	DEUTSCHE GLOBAL/INTERNATIONAL FUND, INC.	20140811	0630	20181201	20181201	485BPOS	20181220	2018-12-19 17:46:00.0	ddgifi-20181130.xml	1	
0000088053-18-001339	88053	DEUTSCHE DWS INTERNATIONAL FUND, INC.	US	NY	NEW YORK	10154-0004	345 PARK AVENUE		212-250-2500	US	NY	NEW YORK	10154-0004	345 PARK AVENUE				132827803	DEUTSCHE INTERNATIONAL FUND, INC.	20140811	0331	20181201	20181201	485BPOS	20181220	2018-12-19 17:47:00.0	ddifi-20181130.xml	1	
0000088053-18-001340	926425	DEUTSCHE DWS ASSET ALLOCATION TRUST	US	NY	NEW YORK	10154-0004	345 PARK AVENUE		212-250-2500	US	NY	NEW YORK	10154-0004	345 PARK AVENUE		US	MA	000000000	DEUTSCHE ASSET ALLOCATION TRUST	20151019	1231	20181201	20181201	485BPOS	20181220	2018-12-19 17:49:00.0	ddaat-20181130.xml	1	
0000088053-18-001341	55189	DEUTSCHE DWS MONEY FUNDS	US	NY	NEW YORK	10154-0004	345 PARK AVENUE		212-250-2500	US	NY	NEW YORK	10154-0004	345 PARK AVENUE		US	MA	362809723	DEUTSCHE MONEY FUNDS	20140811	0731	20181201	20181201	485BPOS	20181220	2018-12-20 11:15:00.0	ddmf-20181128.xml	1	
0000088053-18-001342	863209	INVESTORS CASH TRUST	US	NY	NEW  YORK	10154-0004	345 PARK AVENUE		212-250-2500	US	NY	NEW  YORK	10154-0004	345 PARK AVENUE		US	MA	363708479			0331	20181201	20181201	485BPOS	20181220	2018-12-20 11:18:00.0	ict-20181130.xml	1	
0000088053-18-001352	88048	DEUTSCHE DWS SECURITIES TRUST	US	NY	NEW YORK	10154-0004	345 PARK AVENUE		212-250-2500	US	NY	NEW YORK	10154-0004	345 PARK AVENUE				132661231	DEUTSCHE SECURITIES TRUST	20140811	0630	20180301	20181207	497	20181221	2018-12-20 17:51:00.0	ddst-20181207.xml	1	
0000100334-18-000110	100334	AMERICAN CENTURY MUTUAL FUNDS, INC.	US	MO	KANSAS CITY	64111	4500 MAIN STREET		816-531-5575	US	MO	KANSAS CITY	64111	4500 MAIN STREET		US	MD	446006315	AMERICAN CENTURY MUTUAL FUNDS INC	19970107	1031	20180301	20180301	497	20181211	2018-12-11 10:49:00.0	ck000077367-20181207.xml	1	
0000313212-18-000117	313212	T. ROWE PRICE INTERNATIONAL FUNDS, INC.	US	MD	BALTIMORE	21202	100 EAST PRATT STREET		410-345-2000	US	MD	BALTIMORE	21202	100 EAST PRATT STREET				521175211	PRICE T ROWE INTERNATIONAL FUNDS INC	19920703	1231	20181119	20181119	485BPOS	20181127	2018-11-27 10:58:00.0	trpifi-20181114.xml	1	
0000313212-18-000201	313212	T. ROWE PRICE INTERNATIONAL FUNDS, INC.	US	MD	BALTIMORE	21202	100 EAST PRATT STREET		410-345-2000	US	MD	BALTIMORE	21202	100 EAST PRATT STREET		US	MD	521175211	PRICE T ROWE INTERNATIONAL FUNDS INC	19920703	1231	20181210	20181210	497	20181221	2018-12-21 09:01:00.0	trpifi-20181210.xml	18	1600600 834798 1520245 808303 754915 1608530 1038469 1046404 1120925 1120924 1169187 852254 1038490 1486048 1440930 7580
0000316968-18-000041	316968	T. ROWE PRICE GOVERNMENT MONEY FUND, INC.	US	MD	BALTIMORE	21202	100 EAST PRATT STREET		410-345-2000	US	MD	BALTIMORE	21202	100 EAST PRATT STREET		US	MD	521040467	T. ROWE PRICE PRIME RESERVE FUND, INC.	20051028	0531	20181001	20181001	485BPOS	20181012	2018-10-12 07:13:00.0	trpgmfi-20180926.xml	1	
0000711080-18-000295	711080	TOUCHSTONE STRATEGIC TRUST	US	OH	CINCINNATI	45202-4203	303 BROADWAY	SUITE 1100	5133628000	US	OH	CINCINNATI	45202-4203	303 BROADWAY	SUITE 1100	US	MA	311276717	COUNTRYWIDE STRATEGIC TRUST	19970303	0331	20181029	20181029	485BPOS	20181116	2018-11-16 11:30:00.0	ck0000711080-20181109.xml	1	
0000711080-18-000316	711080	TOUCHSTONE STRATEGIC TRUST	US	OH	CINCINNATI	45202-4203	303 BROADWAY	SUITE 1100	5133628000	US	OH	CINCINNATI	45202-4203	303 BROADWAY	SUITE 1100	US	MA	311276717	COUNTRYWIDE STRATEGIC TRUST	19970303	0331	20181116	20181116	485BPOS	20181210	2018-12-10 13:45:00.0	ck0000711080-20181207.xml	1	
0000718935-18-000016	718935	DREYFUS INTERMEDIATE MUNICIPAL BOND FUND, INC.	US	NY	NEW YORK	10166	THE DREYFUS CORP	200 PARK AVENUE, 7TH FLOOR	2129226400	US	NY	NEW YORK	10166	C/O DREYFUS CORP	200 PARK AVENUE, 7TH FLOOR	US	NY	133171381	DREYFUS INTERMEDIATE MUNICIPAL BOND FUND INC	19920703	0531	20180928	20180928	485BPOS	20181009	2018-10-09 15:28:00.0	ck0000718935-20180927.xml	1	
0000720064-18-000014	720064	DREYFUS PREMIER CALIFORNIA AMT-FREE MUNICIPAL BOND FUND, INC.	US	NY	NEW YORK	10166	THE DREYFUS CORPORATION	200 PARK AVENUE	2129226400	US	NY	NEW YORK	10166	C/O DREYFUS CORP	200 PARK AVENUE, 7TH FLOOR	US	NY	133171422	DREYFUS PREMIER CALIFORNIA AMT-FREE MUNICIPAL BOND FUND INC	20080204	0531	20180928	20180928	485BPOS	20181005	2018-10-05 11:16:00.0	ck0000720064-20180927.xml	1	
0000723765-18-000015	723765	DREYFUS NEW YORK TAX EXEMPT BOND FUND, INC.	US	NY	NEW YORK	10166	THE DREYFUS CORPORATION	200 PARK AVENUE	2129226400	US	NY	NEW YORK	10166	C/O DREYFUS CORP	200 PARK AVENUE, 7TH FLOOR	US	NY	133171383	DREYFUS NEW YORK TAX EXEMPT BOND FUND INC /NEW/	19920703	0531	20180928	20180928	485BPOS	20181010	2018-10-10 12:18:00.0	ck0000723765-20180927.xml	1	
0000732697-18-000026	732697	ULTRA SERIES FUND	US	WI	MADISON	53711	550 SCIENCE DRIVE		6082740300	US	WI	MADISON	53711	550 SCIENCE DRIVE		US	MA	000000000			1231	20180501	20181120	497	20181126	2018-11-26 16:32:00.0	cik0000732697-20181116.xml	1	
0000737520-18-000058	737520	STRATEGIC FUNDS, INC.	US	NY	NEW YORK	10166	THE DREYFUS CORPORATION	200 PARK AVENUE	2129226400	US	NY	NEW YORK	10166	C/O DREYFUS CORP	200 PARK AVENUE, 7TH FLOOR	US	NY	133272460	DREYFUS PREMIER  NEW LEADERS FUND INC	20021213	1231	20180928	20180928	485BPOS	20181005	2018-10-05 11:29:00.0	ck0000737520-20180927.xml	1	
0000746458-18-000031	746458	AMERICAN CENTURY MUNICIPAL TRUST	US	MO	KANSAS CITY	64111	4500 MAIN STREET		816-531-5575	US	MO	KANSAS CITY	64111	4500 MAIN STREET		US	MA	776009794	BENHAM MUNICIPAL TRUST	19940202	0531	20181001	20181001	485BPOS	20181016	2018-10-16 14:35:00.0	ck000077367-20181012.xml	1	
0000754915-18-000006	754915	T. ROWE PRICE HIGH YIELD FUND, INC.	US	MD	BALTIMORE	21202	100 EAST PRATT STREET		410-345-2000	US	MD	BALTIMORE	21202	100 EAST PRATT STREET		US	MD	521371712	PRICE T ROWE HIGH YIELD FUND INC	19920703	0531	20181001	20181001	485BPOS	20181012	2018-10-12 08:58:00.0	trphyf-20180926.xml	1	
0000766285-18-000045	766285	AMANA MUTUAL FUNDS TRUST	US	WA	BELLINGHAM	98225	1300 NORTH STATE ST		3605949900	US	WA	BELLINGHAM	98225	1300 N STATE STREET		US	DE	356447892			0531	20180928	20180928	485BPOS	20181019	2018-10-19 12:57:00.0	amft-20180928.xml	1	
0000779785-18-000008	779785	T. ROWE PRICE GNMA FUND, INC.	US	MD	BALTIMORE	21202	100 EAST PRATT STREET		410-345-2000	US	MD	BALTIMORE	21202	100 EAST PRATT STREET		US	MD	521426953	T. ROWE PRICE GNMA FUND	20051028	0531	20181001	20181001	485BPOS	20181012	2018-10-12 08:57:00.0	trpgf-20180926.xml	1	
0000795384-18-000039	795384	T. ROWE PRICE STATE TAX-FREE FUNDS, INC.	US	MD	BALTIMORE	21202	100 EAST PRATT STREET		410-345-2000	US	MD	BALTIMORE	21202	100 EAST PRATT STREET		US	MD	000000000	T. ROWE PRICE STATE TAX-FREE INCOME TRUST	20051028	0228	20180701	20181012	497	20181025	2018-10-25 09:01:00.0	trptfit-20181012.xml	1	
0000797923-18-000017	797923	DREYFUS MUNICIPAL BOND OPPORTUNITY FUND	US	NY	NEW YORK	10166	200 PARK AVENUE	THE DREYFUS CORPORATION	2129226400	US	NY	NEW YORK	10166	C/O DREYFUS CORP	200 PARK AVENUE, 7TH FLOOR	US	NY	000000000	DREYFUS PREMIER MUNICIPAL BOND FUND	19970605	0430	20181001	20181001	497	20181010	2018-10-10 11:03:00.0	ck0000797923-20181001.xml	1	
0000797923-18-000020	797923	DREYFUS MUNICIPAL BOND OPPORTUNITY FUND	US	NY	NEW YORK	10166	200 PARK AVENUE	THE DREYFUS CORPORATION	2129226400	US	NY	NEW YORK	10166	C/O DREYFUS CORP	200 PARK AVENUE, 7TH FLOOR	US	NY	000000000	DREYFUS PREMIER MUNICIPAL BOND FUND	19970605	0430	20180831	20181123	497	20181206	2018-12-06 15:52:00.0	ck0000797923-20181123.xml	1	
0000806176-18-000022	806176	DREYFUS STATE MUNICIPAL BOND FUNDS	US	NY	NEW YORK	10166	C/O DREYFUS CORP	200 PARK AVE 7TH FL.	2129226400	US	NY	NEW YORK	10166	C/O DREYFUS CORP	200 PARK AVE. , 7TH FL. W.	US	MA	000000000	DREYFUS PREMIER STATE MUNICIPAL BOND FUND	19970506	0430	20181001	20181001	497	20181010	2018-10-10 10:53:00.0	ck0000806176-20181001.xml	1	
0000819118-18-000057	1364924	FIDELITY RUTLAND SQUARE TRUST II	US	MA	BOSTON	02210	245 SUMMER STREET		617-563-7000	US	MA	BOSTON	02210	245 SUMMER STREET		US	DE	000000000			0228	20181026	20181026	485BPOS	20181114	2018-11-14 12:08:00.0	frst-20181025.xml	1	
0000827060-18-000119	827060	AMERICAN CENTURY QUANTITATIVE EQUITY FUNDS, INC.	US	MO	KANSAS CITY	64111	4500 MAIN STREET		816-531-5575	US	MO	KANSAS CITY	64111	4500 MAIN STREET	9TH FLOOR	US	MD	431819235	AMERICAN CENTURY QUANTITATIVE EQUITY FUNDS	19970107	0630	20181101	20181101	485BPOS	20181115	2018-11-15 10:38:00.0	ck0000827060-20181109.xml	1	
0000853437-18-000010	853437	T. ROWE PRICE U.S. TREASURY FUNDS, INC.	US	MD	BALTIMORE	21202	100 EAST PRATT STREET		410-345-2000	US	MD	BALTIMORE	21202	100 EAST PRATT STREET		US	MD	000000000	PRICE T ROWE U S TREASURY FUNDS INC	19920703	0531	20181001	20181001	485BPOS	20181012	2018-10-12 07:12:00.0	trputfi-20180926.xml	1	
0000872825-18-000133	872825	AMERICAN CENTURY WORLD MUTUAL FUNDS INC	US	MO	KANSAS CITY	64111	4500 MAIN STREET		816-531-5575	US	MO	KANSAS CITY	64111	4500 MAIN STREET		US	MD	431567889	TWENTIETH CENTURY WORLD INVESTORS INC	19920703	1130	20181130	20181130	485BPOS	20181213	2018-12-13 11:12:00.0	ck000077367-20181213.xml	1	
0000889169-18-000043	889169	DREYFUS INVESTMENT GRADE FUNDS, INC.	US	NY	NEW YORK	10166	200 PARK AVE 7TH FL	C/O DREYFUS CORP	2129226400	US	NY	NEW YORK	10166	THE DREYFUS CORPORATION	200 PARK AVENUE	US	MD	133868222	DREYFUS INVESTMENT GRADE FUNDS INC	20030826	0731	20181130	20181130	485BPOS	20181210	2018-12-10 11:23:00.0	ck0000889169-20181126.xml	1	
0000891092-18-008284	1342947	BBH TRUST	US	MA	BOSTON	02110	50 POST OFFICE SQUARE		800-575-1265	US	NY	NEW YORK	10005	140 BROADWAY				000000000			0630	20181101	20181101	485BPOS	20181115	2018-11-15 12:55:00.0	bbht-20181029.xml	1	
0000891092-18-009121	1559109	ETFIS SERIES TRUST I	US	NY	NEW YORK	10036	1540 BROADWAY		347-903-7347	US	NY	NEW YORK	10036	1540 BROADWAY		US	DE	000000000	ETF ACTIVELY MANAGED TRUST	20120926	1231	20181128	20181128	485BPOS	20181211	2018-12-11 16:06:00.0	utes-20181128.xml	1	
0000891092-18-009122	1648403	VIRTUS ETF TRUST II	US	NY	NEW YORK	10036	1540 BROADWAY		212-493-4383	US	NY	NEW YORK	10036	1540 BROADWAY		US	DE	000000000	VIRTUS EFT TRUST II	20150717	1031	20181128	20181128	485BPOS	20181211	2018-12-11 16:07:00.0	blhy-20181128.xml	1	
0000891092-18-009175	1415995	INDEXIQ ETF TRUST	US	NY	NEW YORK	10010	51 MADISON AVENUE		888-474-7725	US	NY	NEW YORK	10010	51 MADISON AVENUE		US	DE	000000000	IQSHARES TRUST	20080808	0430	20180829	20181207	497	20181214	2018-12-14 11:15:00.0	iqetf-20181207.xml	1	
0000891092-18-009181	1415995	INDEXIQ ETF TRUST	US	NY	NEW YORK	10010	51 MADISON AVENUE		888-474-7725	US	NY	NEW YORK	10010	51 MADISON AVENUE		US	DE	000000000	IQSHARES TRUST	20080808	0430	20180829	20181207	497	20181214	2018-12-14 11:43:00.0	iqetf-20181207.xml	1	
0000891092-18-009182	1415995	INDEXIQ ETF TRUST	US	NY	NEW YORK	10010	51 MADISON AVENUE		888-474-7725	US	NY	NEW YORK	10010	51 MADISON AVENUE		US	DE	000000000	IQSHARES TRUST	20080808	0430	20181207	20181207	485BPOS	20181214	2018-12-14 11:58:00.0	iqetf-20181207.xml	1	
0000891092-18-009183	1415995	INDEXIQ ETF TRUST	US	NY	NEW YORK	10010	51 MADISON AVENUE		888-474-7725	US	NY	NEW YORK	10010	51 MADISON AVENUE		US	DE	000000000	IQSHARES TRUST	20080808	0430	20181211	20181211	485BPOS	20181214	2018-12-14 11:59:00.0	iqetf-20181211.xml	1	
0000894189-18-005488	1567101	BRIDGE BUILDER TRUST	US	WI	MILWAUKEE	53202	615 EAST MICHIGAN STREET		414-287-3700	US	WI	MILWAUKEE	53202	615 EAST MICHIGAN STREET		US	DE	000000000			0630	20171028	20181001	497	20181003	2018-10-03 09:10:00.0	ck0001567101-20181001.xml	1	
